District,Date,AQI
Attock,12/8/2024,295.6462495
Attock,12/9/2024,263.7301295
Attock,12/10/2024,227.2742884
Attock,12/11/2024,213.7001417
Attock,12/12/2024,284.144942
Attock,12/13/2024,282.2056075
Attock,12/14/2024,181.9943618
Attock,12/15/2024,140.2689184
Attock,12/16/2024,188.4268687
Attock,12/17/2024,207.0414041
Attock,12/18/2024,270.8947927
Attock,12/19/2024,278.8019898
Attock,12/20/2024,280.4943695
Attock,12/21/2024,283.6024661
Attock,12/22/2024,315.9296887
Attock,12/23/2024,280.7880415
Attock,12/24/2024,292.5624406
Attock,12/25/2024,297.1978776
Attock,12/26/2024,284.4013975
Attock,12/27/2024,312.5817914
Attock,12/28/2024,279.2840604
Attock,12/29/2024,338.1079554
Attock,12/30/2024,286.7495502
Attock,12/31/2024,336.3193564
Attock,1/1/2025,234.5205507
Attock,1/2/2025,304.9447364
Attock,1/3/2025,250.76393
Attock,1/4/2025,298.3268587
Attock,1/5/2025,290.1726255
Attock,1/6/2025,202.0995246
Attock,1/7/2025,304.8292679
Attock,1/8/2025,324.519927
Attock,1/9/2025,288.7479858
Attock,1/10/2025,237.7010679
Attock,1/11/2025,243.9836677
Attock,1/12/2025,277.7540114
Attock,1/13/2025,214.5339422
Attock,1/14/2025,226.3317067
Attock,1/15/2025,142.3201772
Attock,1/16/2025,169.2687846
Attock,1/17/2025,240.7466016
Attock,1/18/2025,209.9741189
Attock,1/19/2025,265.418423
Attock,1/20/2025,263.1696262
Attock,1/21/2025,324.9656844
Bahawalnagar,9/1/2023,205.2474141
Bahawalnagar,9/2/2023,207.3764622
Bahawalnagar,9/3/2023,141.4304479
Bahawalnagar,9/4/2023,183.0787616
Bahawalnagar,9/5/2023,216.9459187
Bahawalnagar,9/6/2023,171.5744273
Bahawalnagar,9/7/2023,217.3323893
Bahawalnagar,9/8/2023,149.3982705
Bahawalnagar,9/9/2023,120.6016805
Bahawalnagar,9/10/2023,137.9386761
Bahawalnagar,9/11/2023,134.5596016
Bahawalnagar,9/12/2023,73.09908085
Bahawalnagar,9/13/2023,94.18368671
Bahawalnagar,9/14/2023,95.43279431
Bahawalnagar,9/15/2023,124.8708054
Bahawalnagar,9/16/2023,54.23030578
Bahawalnagar,9/17/2023,46.36026058
Bahawalnagar,9/18/2023,75.44977036
Bahawalnagar,9/19/2023,81.43121947
Bahawalnagar,9/20/2023,160.8865546
Bahawalnagar,9/21/2023,119.0992061
Bahawalnagar,9/22/2023,121.1652063
Bahawalnagar,9/23/2023,85.34725594
Bahawalnagar,9/24/2023,170.9976971
Bahawalnagar,9/25/2023,94.27554689
Bahawalnagar,9/26/2023,156.1289191
Bahawalnagar,9/27/2023,238.4115502
Bahawalnagar,9/28/2023,182.2103808
Bahawalnagar,9/29/2023,232.1749512
Bahawalnagar,9/30/2023,153.4705074
Bahawalnagar,10/1/2023,219.0893557
Bahawalnagar,10/2/2023,174.7768621
Bahawalnagar,10/3/2023,172.5982123
Bahawalnagar,10/4/2023,235.2847756
Bahawalnagar,10/5/2023,219.5785275
Bahawalnagar,10/6/2023,96.08999493
Bahawalnagar,10/7/2023,153.8348177
Bahawalnagar,10/8/2023,185.3423809
Bahawalnagar,10/9/2023,164.6710382
Bahawalnagar,10/10/2023,90.45154546
Bahawalnagar,10/11/2023,169.016474
