,Date,District,Final_aqi
167,2024-10-14,Nankana Sahib,103.00450920833333
168,2024-10-14,Narowal,112.11446229166667
169,2024-10-14,Okara,100.4319155
170,2024-10-14,Pakpattan,122.77490375000001
171,2024-10-14,Rahim Yar Khan,104.17235833333332
172,2024-10-14,Rajanpur,106.83685670833334
173,2024-10-14,Rawalpindi,82.27636341666667
174,2024-10-14,Sahiwal,111.28840874999999
175,2024-10-14,Sargodha,111.36406333333333
176,2024-10-14,Sheikhupura,122.33115929166667
177,2024-10-14,Sialkot,110.86666245833334
178,2024-10-14,Toba Tek Singh,113.82749491666668
179,2024-10-14,Vehari,118.79309791666667
180,2024-10-15,Attock,87.52795045833334
181,2024-10-15,Bahawalnagar,115.4590255
182,2024-10-15,Bahawalpur,118.091442125
183,2024-10-15,Bhakkar,100.761110125
184,2024-10-15,Chakwal,87.618967
185,2024-10-15,Chiniot,128.08608833333332
186,2024-10-15,Dera Ghazi Khan,119.34079679166666
187,2024-10-15,Faisalabad,115.87449433333335
188,2024-10-15,Gujranwala,114.14367779166668
189,2024-10-15,Gujrat,92.49452487500001
190,2024-10-15,Hafizabad,115.930170625
191,2024-10-15,Jhang,127.33076791666667
192,2024-10-15,Jhelum,100.78340354166666
193,2024-10-15,Kasur,113.35467579166668
194,2024-10-15,Khanewal,112.92204837499999
195,2024-10-15,Khushab,95.71830566666667
196,2024-10-15,Lahore,132.49706220833335
197,2024-10-15,Layyah,105.49389120833332
198,2024-10-15,Lodhran,103.42049691666666
199,2024-10-15,Mandi Bahuddin,112.86566116666667
200,2024-10-15,Mianwali,91.84403054166667
201,2024-10-15,Multan,110.94266312500001
202,2024-10-15,Muzaffargarh,107.72201770833334
203,2024-10-15,Nankana Sahib,113.72319279166668
204,2024-10-15,Narowal,109.05588854166666
205,2024-10-15,Okara,106.52997379166668
206,2024-10-15,Pakpattan,121.99582808333334
207,2024-10-15,Rahim Yar Khan,78.65307095833333
208,2024-10-15,Rajanpur,86.16097854166667
209,2024-10-15,Rawalpindi,90.35789770833333
210,2024-10-15,Sahiwal,118.78262241666665
211,2024-10-15,Sargodha,121.14121875000001
212,2024-10-15,Sheikhupura,129.51446729166665
213,2024-10-15,Sialkot,110.96960508333332
214,2024-10-15,Toba Tek Singh,119.73278004166667
215,2024-10-15,Vehari,111.73090504166667
216,2024-10-16,Attock,88.87629620833333
217,2024-10-16,Bahawalnagar,105.63163916666667
218,2024-10-16,Bahawalpur,115.87520020833334
219,2024-10-16,Bhakkar,86.39105370833333
220,2024-10-16,Chakwal,85.7363365
221,2024-10-16,Chiniot,122.44127525
222,2024-10-16,Dera Ghazi Khan,96.77691104166666
223,2024-10-16,Faisalabad,104.374532
224,2024-10-16,Gujranwala,115.69956895833333
225,2024-10-16,Gujrat,94.98881645833335
226,2024-10-16,Hafizabad,114.90841433333333
227,2024-10-16,Jhang,116.63805825000001
228,2024-10-16,Jhelum,102.54351483333333
229,2024-10-16,Kasur,107.78626791666666
230,2024-10-16,Khanewal,92.03914604166665
231,2024-10-16,Khushab,82.70047233333334
232,2024-10-16,Lahore,145.30852975000002
233,2024-10-16,Layyah,91.527848875
234,2024-10-16,Lodhran,89.60718029166667
235,2024-10-16,Mandi Bahuddin,112.27322429166666
236,2024-10-16,Mianwali,86.29507579166666
237,2024-10-16,Multan,93.89795266666665
238,2024-10-16,Muzaffargarh,86.60832595833334
239,2024-10-16,Nankana Sahib,108.29665266666666
240,2024-10-16,Narowal,112.08846020833333
241,2024-10-16,Okara,94.81403083333333
242,2024-10-16,Pakpattan,100.88738304166667
243,2024-10-16,Rahim Yar Khan,70.552018625
244,2024-10-16,Rajanpur,74.19685091666666
245,2024-10-16,Rawalpindi,96.01836991666666
246,2024-10-16,Sahiwal,105.53486687499999
247,2024-10-16,Sargodha,115.08259541666666
