District,date,Aqi
Bahawalpur,2024-09-30,79.24569
Bahawalpur,2024-10-01,78.47081
Bahawalpur,2024-10-02,76.98088
Bahawalpur,2024-10-03,76.1945
Bahawalpur,2024-10-04,76.94926
Bahawalpur,2024-10-05,78.69585
Bahawalpur,2024-10-06,80.097404
Bahawalpur,2024-10-07,81.06527
Bahawalpur,2024-10-08,81.55032
Bahawalpur,2024-10-09,81.95529
Bahawalpur,2024-10-10,81.834946
Bahawalpur,2024-10-11,81.55482
Bahawalpur,2024-10-12,80.2888
Bahawalpur,2024-10-13,78.35409
Bahawalpur,2024-10-14,77.28416
Bahawalpur,2024-10-15,79.01561
Bahawalpur,2024-10-16,80.47372
Bahawalpur,2024-10-17,81.94167
Bahawalpur,2024-10-18,82.20819
Bahawalpur,2024-10-19,82.053085
Bahawalpur,2024-10-20,81.61136
Bahawalpur,2024-10-21,81.167885
Bahawalpur,2024-10-22,79.59937
Bahawalpur,2024-10-23,77.81953
Bahawalpur,2024-10-24,76.64122
Bahawalpur,2024-10-25,78.42644
Bahawalpur,2024-10-26,80.0379
Bahawalpur,2024-10-27,81.5774
Bahawalpur,2024-10-28,82.286766
Bahawalpur,2024-10-29,81.93269
Bahawalpur,2024-10-30,81.71849
Bahawalpur,2024-10-31,81.452034
Bahawalpur,2024-11-01,79.975395
Bahawalpur,2024-11-02,78.26681
Bahawalpur,2024-11-03,77.82599
Bahawalpur,2024-11-04,79.66131
Bahawalpur,2024-11-05,80.84823
Bahawalpur,2024-11-06,81.87724
Bahawalpur,2024-11-07,81.80333
Bahawalpur,2024-11-08,82.01523
Bahawalpur,2024-11-09,81.75879
Bahawalpur,2024-11-10,81.40963
Bahawalpur,2024-11-11,80.184105
Bahawalpur,2024-11-12,78.47329
Bahawalpur,2024-11-13,77.06993
Bahawalpur,2024-11-14,77.46667
Bahawalpur,2024-11-15,79.29941
Bahawalpur,2024-11-16,80.53245
Bahawalpur,2024-11-17,81.62179
Bahawalpur,2024-11-18,82.01143
Bahawalpur,2024-11-19,81.79206
Bahawalpur,2024-11-20,81.891235
Bahawalpur,2024-11-21,81.553665
Bahawalpur,2024-11-22,80.33691
Bahawalpur,2024-11-23,78.24546
Bahawalpur,2024-11-24,77.22173
Bahawalpur,2024-11-25,78.99175
Bahawalpur,2024-11-26,80.32653
Bahawalpur,2024-11-27,81.47231
Bhakkar,2024-08-30,56.606308
Bhakkar,2024-08-31,48.268913
Bhakkar,2024-09-01,46.87325
Bhakkar,2024-09-02,49.112614
Bhakkar,2024-09-03,51.156376
Bhakkar,2024-09-04,51.832207
Bhakkar,2024-09-05,51.595844
Bhakkar,2024-09-06,52.89221
Bhakkar,2024-09-07,54.38785
Bhakkar,2024-09-08,53.970184
Bhakkar,2024-09-09,54.90633
Bhakkar,2024-09-10,55.921295
Bhakkar,2024-09-11,56.437138
Bhakkar,2024-09-12,57.272446
Bhakkar,2024-09-13,57.48748
Bhakkar,2024-09-14,57.423946
Bhakkar,2024-09-15,57.082638
Bhakkar,2024-09-16,56.688545
Bhakkar,2024-09-17,56.16017
Bhakkar,2024-09-18,55.52086
Bhakkar,2024-09-19,54.510468
Bhakkar,2024-09-20,54.73212
Bhakkar,2024-09-21,55.324905
Bhakkar,2024-09-22,55.79742
Bhakkar,2024-09-23,56.686867
Bhakkar,2024-09-24,57.1335
Bhakkar,2024-09-25,56.83638
Bhakkar,2024-09-26,55.850536
Bhakkar,2024-09-27,55.174934
Bhakkar,2024-09-28,55.7612
Bhakkar,2024-09-29,55.632713
Bhakkar,2024-09-30,55.393814
Bhakkar,2024-10-01,55.30021
Bhakkar,2024-10-02,54.865135
Bhakkar,2024-10-03,54.441772
Bhakkar,2024-10-04,54.543785
Bhakkar,2024-10-05,55.205
Bhakkar,2024-10-06,56.5761
Bhakkar,2024-10-07,57.44516
Bhakkar,2024-10-08,57.462746
Bhakkar,2024-10-09,57.303707
Bhakkar,2024-10-10,57.55343
Bhakkar,2024-10-11,57.624775
Bhakkar,2024-10-12,56.83144
Bhakkar,2024-10-13,55.283028
Bhakkar,2024-10-14,54.519012
Bhakkar,2024-10-15,55.50616
Bhakkar,2024-10-16,56.971226
Bhakkar,2024-10-17,57.804947
Bhakkar,2024-10-18,57.67972
Bhakkar,2024-10-19,57.19119
Bhakkar,2024-10-20,57.43409
Bhakkar,2024-10-21,57.2958
Bhakkar,2024-10-22,56.59533
Bhakkar,2024-10-23,54.621468
Bhakkar,2024-10-24,54.518635
Bhakkar,2024-10-25,55.14396
Bhakkar,2024-10-26,56.432266
Bhakkar,2024-10-27,57.663223
Bhakkar,2024-10-28,57.758026
Bhakkar,2024-10-29,57.397663
Bhakkar,2024-10-30,57.326393
Bhakkar,2024-10-31,57.40854
Bhakkar,2024-11-01,56.961327
