District,PM10,PM2.5,Carbon Monoxide,Nitrogen Dioxide,Sulphur Dioxide,Ozone,Dust,Final_AQI,Date
Rahim Yar Khan,60.071093749999996,22.782812500000002,365.84375,11.906770833333333,4.204166666666667,99.34375,79.76302083333333,73.42680989583333,2024-05-07
Rahim Yar Khan,49.24166666666667,19.491145833333334,278.9270833333333,7.8,5.676302083333333,102.78645833333333,62.921875,60.23828125,2024-05-08
Rahim Yar Khan,40.448177083333334,16.033593749999998,223.72395833333334,4.651822916666666,5.111197916666667,101.6015625,50.231770833333336,50.3734765625,2024-05-09
Rahim Yar Khan,78.91927083333333,28.149479166666666,289.8046875,4.423177083333333,5.886197916666667,114.34895833333333,114.73177083333333,74.17123697916666,2024-05-10
Rahim Yar Khan,54.41692708333333,15.374479166666667,211.47135416666666,5.432552083333333,4.205989583333333,85.27604166666667,92.44270833333333,52.98020833333334,2024-05-11
Rahim Yar Khan,76.27916666666667,24.121614583333336,308.2421875,9.555989583333334,5.141666666666667,97.4609375,117.9296875,73.51455729166666,2024-05-12
Rahim Yar Khan,65.65468750000001,25.921614583333334,308.8411458333333,6.151822916666667,4.73828125,114.8984375,77.640625,70.54666666666667,2024-05-13
Rahim Yar Khan,48.59661458333333,20.803645833333334,292.9973958333333,8.19375,4.10546875,100.109375,51.799479166666664,60.890325520833336,2024-05-14
Rahim Yar Khan,51.271875,17.715104166666666,254.54427083333334,7.447135416666666,4.123958333333333,96.8828125,71.42708333333333,57.4902734375,2024-05-15
Rahim Yar Khan,45.90260416666666,15.041927083333334,235.16145833333334,6.788541666666667,4.399739583333333,103.359375,66.83333333333333,53.88813802083334,2024-05-16
Rahim Yar Khan,49.37135416666666,16.484114583333334,244.7734375,6.765885416666666,5.0335937500000005,102.72135416666667,75.4375,56.50346354166667,2024-05-17
Rahim Yar Khan,72.58437500000001,24.654687499999998,212.69270833333334,5.963802083333333,4.200520833333333,100.63541666666667,111.2109375,62.51774739583334,2024-05-18
Rahim Yar Khan,81.61614583333333,23.096875,220.72395833333334,5.889583333333333,4.318489583333333,95.69010416666667,142.9765625,66.28377604166667,2024-05-19
Rahim Yar Khan,62.66223958333333,21.877864583333334,314.5729166666667,11.93359375,3.82578125,90.39583333333333,89.5234375,68.28069010416667,2024-05-20
Rahim Yar Khan,63.57604166666667,26.515885416666666,366.9244791666667,13.5078125,4.4593750000000005,101.70572916666667,73.45833333333333,75.53102864583333,2024-05-21
Rahim Yar Khan,53.35833333333333,22.5828125,360.3307291666667,12.987760416666667,4.51484375,100.66927083333333,60.768229166666664,70.52334635416666,2024-05-22
Rahim Yar Khan,52.55026041666667,19.572656249999998,309.3359375,9.419270833333334,3.8278645833333336,106.14583333333333,70.03385416666667,64.87627604166667,2024-05-23
Rahim Yar Khan,94.8796875,30.848697916666666,332.0911458333333,5.884635416666666,5.650260416666666,123.30989583333333,141.50520833333334,85.49518229166667,2024-05-24
Rahim Yar Khan,93.25859375,31.130468750000002,331.7864583333333,6.6429687500000005,7.1546875000000005,117.2890625,134.58333333333334,84.4458984375,2024-05-25
Rahim Yar Khan,67.09322916666666,20.988020833333334,227.3203125,6.42109375,3.759635416666667,105.09114583333333,108.85677083333333,62.04342447916667,2024-05-26
Rahim Yar Khan,52.624218750000004,16.685677083333335,202.44270833333334,5.150260416666667,2.5968750000000003,113.59895833333333,86.84895833333333,54.306315104166664,2024-05-27
Rahim Yar Khan,57.94895833333334,16.141666666666666,194.90625,4.840364583333334,2.8234375000000003,112.57291666666667,99.61979166666667,55.259960937500004,2024-05-28
Rahim Yar Khan,48.73645833333333,15.68359375,234.46614583333334,7.430729166666667,3.7984375,107.91145833333333,84.45572916666667,56.06001302083334,2024-05-29
Rahim Yar Khan,189.51432291666666,33.495052083333334,230.07552083333334,6.7835937500000005,4.3796875,101.54166666666667,408.046875,110.7719140625,2024-05-30
Rahim Yar Khan,196.09375,31.398177083333334,166.03125,3.7565104166666665,3.7463541666666664,90.85416666666667,437.7473958333333,105.38700520833333,2024-05-31
Rahim Yar Khan,274.17343750000003,43.98411458333334,284.4635416666667,12.239322916666666,3.2182291666666667,75.34375,617.1588541666666,148.53578124999999,2024-06-01
Rahim Yar Khan,200.78515625,35.80703125,168.64583333333334,3.778385416666667,3.465885416666667,90.15364583333333,440.5546875,107.96907552083333,2024-06-02
