datetime,District,Carbon_monoxide,Dust,Nitrogen_dioxide,Ozone,Pm_10,Pm_25,Sulphur_dioxide,Pm25_aqi,Pm10_aqi,Dust_aqi,O3_aqi,Co_aqi,No2_aqi,So2_aqi,Final_aqi,Date
2024-10-05,Mianwali,282.1699704166667,-2.7550326916666665,6.821813942916666,110.43396787500001,34.286636916666666,12.869428166666665,282.1699704166667,52.618110736766816,31.746886033950616,-2.5509561959876543,188.435786593785,151.0,6.435673531053459,190.93498771539547,80.15192759852083,2024-10-05
2024-10-06,Mianwali,282.17029041666666,-2.757553258333333,6.56676623,110.50327195833334,34.28662933333333,12.838121520833333,282.17029041666666,52.552272726216025,31.746879012345683,-2.5532900540123458,188.70817938075461,151.0,6.195062481132076,190.9351205967514,80.11271026429166,2024-10-06
2024-10-07,Mianwali,282.17032208333336,-2.7579216208333333,6.348737694166666,110.67576991666665,34.286615000000005,12.82686975,282.17032208333336,52.52861020386266,31.74686574074074,-2.5536311304012345,189.1871015600877,151.0,5.989375183176101,190.93513374646895,80.09442716891668,2024-10-07
2024-10-08,Mianwali,282.1703175,-2.7579628958333333,6.172708569583333,110.77223645833334,34.286620291666665,12.822816125000001,282.1703175,52.52008541309013,31.746870640432096,-2.5536693479938273,189.58554942046783,151.0,5.823309971305032,190.93513184322035,80.07665439064584,2024-10-08
2024-10-09,Mianwali,282.17031583333335,-2.75796465,6.091523775833333,110.85335083333332,34.28662091666667,12.821353333333334,282.17031583333335,52.51700915593705,31.7468712191358,-2.553670972222222,189.82522634021555,151.0,5.746720543238993,190.93513115112992,80.07222214637501,2024-10-09
2024-10-10,Mianwali,282.1703258333333,-2.7579693958333333,6.1458062162500005,110.99025,34.28662008333333,12.820832354166667,282.1703258333333,52.515913534513594,31.746870447530863,-2.5536753665123455,190.1083828911674,151.0,5.79793039268868,190.9351353036723,80.0939257386875,2024-10-10
2024-10-11,Mianwali,282.17030958333334,-2.757971379166667,6.319621630416666,110.9278435,34.28661925,12.820635729166668,282.17030958333334,52.515500031294714,31.74686967592592,-2.5536772029320987,190.00837449296225,151.0,5.961907198506289,190.93512855579095,80.11370468706251,2024-10-11
2024-10-12,Mianwali,282.17030916666664,-2.7579713,6.557708627499999,111.02706612499999,34.28661675,12.820565416666668,282.17030916666664,52.51535216380544,31.74686736111111,-2.5536771296296297,190.24075757652886,151.0,6.186517573113207,190.93512838276834,80.159321716625,2024-10-12
2024-10-13,Mianwali,282.1703116666667,-2.757969558333333,6.880638539166667,110.92903016666666,34.28661929166667,12.820542916666668,282.1703116666667,52.51530484620887,31.746869714506172,-2.5536755169753085,190.08771243613134,151.0,6.4911684331761,190.93512942090396,80.19795320504167,2024-10-13
2024-10-14,Mianwali,282.1703166666667,-2.7579701125000002,7.11768020125,110.90115683333333,34.286619791666666,12.820542416666667,282.1703166666667,52.51530379470672,31.746870177469134,-2.5536760300925927,189.97604022999255,151.0,6.714792642688679,190.93513149717515,80.2307230933125,2024-10-14
2024-10-15,Mianwali,282.170305,-2.757971141666667,7.1755497762500005,110.81883312500001,34.286619,12.820542666666668,282.170305,52.5153043204578,31.746869444444442,-2.5536769830246913,189.65615923254947,151.0,6.769386581367924,190.93512665254238,80.23116863852084,2024-10-15
2024-10-16,Mianwali,282.17032416666666,-2.757968925,7.1570817875,110.72909091666666,34.286620666666664,12.820542583333335,282.17032416666666,52.51530414520744,31.74687098765432,-2.5536749305555557,189.37836993875203,151.0,6.751963950471698,190.93513461158193,80.219428559375,2024-10-16
2024-10-17,Mianwali,282.17031041666667,-2.7579699541666667,7.099601001666667,110.68458616666668,34.286620125,12.820542666666668,282.17031041666667,52.5153043204578,31.74687048611111,-2.5536758834876543,189.16376484408053,151.0,6.6977367940251575,190.93512890183615,80.20635305045833,2024-10-17
2024-10-18,Mianwali,282.1703166666667,-2.7579705874999996,6.910615220833333,110.56168029166668,34.286619791666666,12.82054225,282.1703166666667,52.51530344420601,31.746870177469134,-2.5536764699074075,188.72580846459346,151.0,6.519448321540881,190.93513149717515,80.16571562666667,2024-10-18
2024-10-19,Mianwali,282.17031375,-2.757971141666667,6.654870625416667,110.513170875,34.28662,12.820540666666666,282.17031375,52.51530011444921,31.74687037037037,-2.5536769830246913,188.7027655101795,151.0,6.278179835298743,190.93513028601694,80.12250204089584,2024-10-19
2024-10-20,Mianwali,282.1703254166667,-2.757970191666667,6.404659212916666,110.41580691666667,34.286620625,12.820533833333334,282.1703254166667,52.51528574391989,31.74687094907407,-2.5536761033950617,188.41504358459312,151.0,6.042131332940252,190.93513513064974,80.07523476193751,2024-10-20
