Date,District,Final_aqi
2024-10-17,Rawalpindi,137.77657
2024-10-17,Sahiwal,119.4392
2024-10-17,Sargodha,130.3634
2024-10-17,Sheikhupura,137.52667
2024-10-17,Sialkot,126.86483
2024-10-17,Toba Tek Singh,116.704254
2024-10-17,Vehari,113.968414
2024-10-18,Attock,111.50198
2024-10-18,Bahawalnagar,195.0825
2024-10-18,Bahawalpur,177.0465
2024-10-18,Bhakkar,103.34243
2024-10-18,Chakwal,113.21258
2024-10-18,Chiniot,145.81859
2024-10-18,Dera Ghazi Khan,114.65292
2024-10-18,Faisalabad,135.21298
2024-10-18,Gujranwala,117.71578
2024-10-18,Gujrat,105.62411
2024-10-18,Hafizabad,129.00153
2024-10-18,Jhang,136.16078
2024-10-18,Jhelum,97.56309
2024-10-18,Kasur,125.68676
2024-10-18,Khanewal,110.457855
2024-10-18,Khushab,121.008156
2024-10-18,Lahore,138.47736
2024-10-18,Layyah,106.15917
2024-10-18,Lodhran,115.65133
2024-10-18,Mandi Bahuddin,106.47233
2024-10-18,Mianwali,97.54435
2024-10-18,Multan,109.28611
2024-10-18,Muzaffargarh,116.884056
2024-10-18,Nankana Sahib,120.536156
2024-10-18,Narowal,117.07236
2024-10-18,Okara,119.768036
2024-10-18,Pakpattan,108.65043
2024-10-18,Rahim Yar Khan,121.1861
2024-10-18,Rajanpur,88.18064
2024-10-18,Rawalpindi,133.18578
2024-10-18,Sahiwal,118.5845
2024-10-18,Sargodha,130.37254
2024-10-18,Sheikhupura,136.63136
2024-10-18,Sialkot,126.95374
2024-10-18,Toba Tek Singh,116.66907
2024-10-18,Vehari,114.313194
2024-10-19,Attock,114.58358
2024-10-19,Bahawalnagar,194.72614
2024-10-19,Bahawalpur,178.3199
2024-10-19,Bhakkar,103.33001
2024-10-19,Chakwal,113.72568
2024-10-19,Chiniot,145.0977
2024-10-19,Dera Ghazi Khan,111.99664
2024-10-19,Faisalabad,136.01518
2024-10-19,Gujranwala,117.72067
2024-10-19,Gujrat,106.660164
2024-10-19,Hafizabad,128.97737
2024-10-19,Jhang,136.17082
2024-10-19,Jhelum,97.28616
2024-10-19,Kasur,125.74523
2024-10-19,Khanewal,111.79305
2024-10-19,Khushab,120.78545
2024-10-19,Lahore,137.25443
2024-10-19,Layyah,106.16915
2024-10-19,Lodhran,116.13816
2024-10-19,Mandi Bahuddin,106.473274
2024-10-19,Mianwali,97.565
2024-10-19,Multan,108.94159
2024-10-19,Muzaffargarh,116.99282
2024-10-19,Nankana Sahib,119.835236
2024-10-19,Narowal,117.16218
2024-10-19,Okara,119.19874
2024-10-19,Pakpattan,108.81998
2024-10-19,Rahim Yar Khan,121.03391
2024-10-19,Rajanpur,89.59558
2024-10-19,Rawalpindi,133.66492
2024-10-19,Sahiwal,117.78007
2024-10-19,Sargodha,130.40312
2024-10-19,Sheikhupura,135.6262
2024-10-19,Sialkot,127.1209
2024-10-19,Toba Tek Singh,116.612404
2024-10-19,Vehari,113.48606
2024-10-20,Attock,107.792175
2024-10-20,Bahawalnagar,195.11192
2024-10-20,Bahawalpur,178.70549
2024-10-20,Bhakkar,103.31467
2024-10-20,Chakwal,114.54724
2024-10-20,Chiniot,144.46124
2024-10-20,Dera Ghazi Khan,112.815834
2024-10-20,Faisalabad,137.09984
2024-10-20,Gujranwala,117.71906
2024-10-20,Gujrat,107.82493
2024-10-20,Hafizabad,128.95226
2024-10-20,Jhang,136.18346
2024-10-20,Jhelum,96.84795
2024-10-20,Kasur,125.7427
2024-10-20,Khanewal,110.090675
2024-10-20,Khushab,120.83993
2024-10-20,Lahore,138.2777
2024-10-20,Layyah,106.179016
2024-10-20,Lodhran,116.32079
2024-10-20,Mandi Bahuddin,106.47289
2024-10-20,Mianwali,97.58112
2024-10-20,Multan,108.86396
2024-10-20,Muzaffargarh,117.162224
2024-10-20,Nankana Sahib,119.47309
2024-10-20,Narowal,117.232056
2024-10-20,Okara,121.476074
2024-10-20,Pakpattan,108.76411
2024-10-20,Rahim Yar Khan,120.94633
2024-10-20,Rajanpur,92.15269
2024-10-20,Rawalpindi,135.86227
2024-10-20,Sahiwal,116.84576
2024-10-20,Sargodha,130.4305
2024-10-20,Sheikhupura,135.07906
2024-10-20,Sialkot,127.2631
2024-10-20,Toba Tek Singh,116.49311
2024-10-20,Vehari,117.66901
2024-10-21,Attock,107.857635
2024-10-21,Bahawalnagar,195.16138
2024-10-21,Bahawalpur,183.02985
2024-10-21,Bhakkar,103.36786
2024-10-21,Chakwal,115.56037
2024-10-21,Chiniot,143.85185
2024-10-21,Dera Ghazi Khan,112.797264
2024-10-21,Faisalabad,139.10176
2024-10-21,Gujranwala,117.70178
2024-10-21,Gujrat,108.63684
2024-10-21,Hafizabad,128.92795
2024-10-21,Jhang,136.18571
2024-10-21,Jhelum,96.53103
2024-10-21,Kasur,125.85226
2024-10-21,Khanewal,113.267395
2024-10-21,Khushab,121.1958
2024-10-21,Lahore,131.76524
2024-10-21,Layyah,106.1955
2024-10-21,Lodhran,116.57065
2024-10-21,Mandi Bahuddin,106.46755
2024-10-21,Mianwali,97.60507
2024-10-21,Multan,108.79264
2024-10-21,Muzaffargarh,117.98008
2024-10-21,Nankana Sahib,119.2901
2024-10-21,Narowal,117.22634
2024-10-21,Okara,121.56428
2024-10-21,Pakpattan,108.53198
2024-10-21,Rahim Yar Khan,120.86143
2024-10-21,Rajanpur,98.96429
2024-10-21,Rawalpindi,131.24634
2024-10-21,Sahiwal,115.943306
2024-10-21,Sargodha,130.4671
2024-10-21,Sheikhupura,134.8987
2024-10-21,Sialkot,127.32202
2024-10-21,Toba Tek Singh,116.36901
2024-10-21,Vehari,115.00654
2024-10-22,Attock,111.69009
2024-10-22,Bahawalnagar,196.48778
2024-10-22,Bahawalpur,191.18785
2024-10-22,Bhakkar,103.40121
2024-10-22,Chakwal,116.35553
2024-10-22,Chiniot,143.60481
2024-10-22,Dera Ghazi Khan,112.40811
2024-10-22,Faisalabad,138.92404
2024-10-22,Gujranwala,117.69155
2024-10-22,Gujrat,108.98788
2024-10-22,Hafizabad,128.92166
2024-10-22,Jhang,136.19687
2024-10-22,Jhelum,96.81964
2024-10-22,Kasur,125.66659
2024-10-22,Khanewal,112.58722
2024-10-22,Khushab,122.09637
2024-10-22,Lahore,132.41725
2024-10-22,Layyah,106.20893
2024-10-22,Lodhran,116.57007
2024-10-22,Mandi Bahuddin,106.4664
2024-10-22,Mianwali,97.635254
2024-10-22,Multan,108.56613
2024-10-22,Muzaffargarh,119.69241
2024-10-22,Nankana Sahib,119.33985
2024-10-22,Narowal,117.283775
2024-10-22,Okara,121.91709
2024-10-22,Pakpattan,108.484276
2024-10-22,Rahim Yar Khan,121.278404
2024-10-22,Rajanpur,99.73126
2024-10-22,Rawalpindi,132.10371
2024-10-22,Sahiwal,115.4285
2024-10-22,Sargodha,130.51009
2024-10-22,Sheikhupura,135.36919
2024-10-22,Sialkot,127.394196
2024-10-22,Toba Tek Singh,116.282135
2024-10-22,Vehari,117.7804
2024-10-23,Attock,111.878426
2024-10-23,Bahawalnagar,195.4156
2024-10-23,Bahawalpur,188.96094
2024-10-23,Bhakkar,103.45243
2024-10-23,Chakwal,116.3794
2024-10-23,Chiniot,143.63417
2024-10-23,Dera Ghazi Khan,113.70981
2024-10-23,Faisalabad,138.26682
2024-10-23,Gujranwala,117.6923
2024-10-23,Gujrat,108.61788
2024-10-23,Hafizabad,128.92244
2024-10-23,Jhang,136.19875
2024-10-23,Jhelum,97.36902
2024-10-23,Kasur,125.74198
2024-10-23,Khanewal,112.63694
2024-10-23,Khushab,122.22492
2024-10-23,Lahore,133.23097
2024-10-23,Layyah,106.21056
2024-10-23,Lodhran,116.52088
2024-10-23,Mandi Bahuddin,106.46688
2024-10-23,Mianwali,97.64153
2024-10-23,Multan,108.58845
2024-10-23,Muzaffargarh,120.45583
2024-10-23,Nankana Sahib,119.4369
2024-10-23,Narowal,117.31116
2024-10-23,Okara,122.01769
