District,date,Vehicle,Industry,Residential,Misc,Construction,Agriculture,Sum_of_Sources,Vehicle_percentage,Industry_percentage,Residential_percentage,Misc_percentage,Construction_percentage,Agriculture_percentage
Lahore,2024-11-24 20:00:00,625.709998512268,289.4599987983704,106.60499973297118,4.338999900817871,82.93999977111817,63.54599985122681,1172.5999965667725,53.36090741465712,24.685314655114567,9.09133549762045,0.3700323992428727,7.07317073289751,5.419239300467476
Lahore,2024-11-24 21:00:00,529.2650000572204,255.0750001430511,90.61499996185304,3.9990000152587895,74.35,55.49600001335144,1008.800000190735,52.46480967061377,25.284992079185546,8.982454395789093,0.39641157955022743,7.370142742460602,5.5011895324007485
Lahore,2024-11-24 22:00:00,496.9650011062622,242.62000093460082,85.36000022888183,3.766000061035156,71.18500022888183,52.80400011062621,952.7000026702881,52.16385008012355,25.466568726206578,8.959798466424834,0.3952975806108504,7.4719219092432025,5.542563237390974
Lahore,2024-11-24 23:00:00,503.1550004959106,243.4750005722046,86.49500017166139,3.6410000038146975,71.36000022888183,53.274000053405764,961.4000015258789,52.335656303030156,25.325046826063556,8.996775539253326,0.37871853526481286,7.422508853299702,5.541293943088447
Lahore,2024-11-24 00:00:00,306.2800000190735,148.9400001049042,57.61500005722045,1.8810000038146972,39.074999999999996,35.009000005722044,588.8000001907349,52.01766302986714,25.295516313970246,9.78515625654836,0.3194633157617815,6.636379073937179,5.9458220099153
Lahore,2024-11-24 01:00:00,440.2150000572205,194.0300006389618,78.35,2.4579999923706053,50.61000022888184,44.83700003623963,810.5000009536743,54.31400364457024,23.939543542338868,9.666872289674215,0.3032695853767306,6.244293666789835,5.532017271250118
Lahore,2024-11-24 02:00:00,615.7750005722046,255.07999982833863,105.48000011444093,3.2880000686645503,66.53999977111816,57.93700002670288,1104.1000003814697,55.771669265415504,23.10297977902434,9.55348248147788,0.29779911851540053,6.0266280000116295,5.247441355555247
Lahore,2024-11-24 03:00:00,712.0799997329711,289.68999986648555,120.67000007629395,3.7819999694824222,75.575,65.60299997329713,1267.3999996185303,56.18431434016864,22.857030136790137,9.521066759713898,0.29840618357430576,5.962995109890092,5.176187469862926
Lahore,2024-11-24 04:00:00,650.8300012588502,269.3500002861023,111.95000019073487,3.53200008392334,70.00000000000001,62.338000087738045,1168.0000019073486,55.7217465921269,23.060787658069575,9.58476027465069,0.3023972669653741,5.993150675144669,5.337157533042794
Lahore,2024-11-24 05:00:00,510.7849992752075,223.9599991798401,91.27499999999999,2.9729999542236327,58.43999977111816,54.06699991226196,941.4999980926514,54.25225706956848,23.78757298285205,9.694636238439777,0.315772698910942,6.207116292034998,5.742644718193757
Lahore,2024-11-24 06:00:00,400.70999889373775,186.3199987411499,75.53499984741211,2.4589999389648436,47.93499965667725,47.2409998703003,760.1999969482422,52.71112871643695,24.509339580257247,9.936201019552868,0.32346750182008527,6.305577459761668,6.214285722171172
