date,hour,District,AQI
11/7/2024,14:00,Rahim Yar Khan,132.75
11/7/2024,14:00,Rajanpur,157.905
11/7/2024,14:00,Rawalpindi,490.43
11/7/2024,14:00,Sahiwal,185.845
11/7/2024,14:00,Sargodha,252.445
11/7/2024,14:00,Sheikhupura,418.28
11/7/2024,14:00,Sialkot,266.585
11/7/2024,14:00,Toba Tek Singh,163.085
11/7/2024,14:00,Vehari,174.055
11/7/2024,15:00,Attock,375.905
11/7/2024,15:00,Bahawalnagar,169.075
11/7/2024,15:00,Bahawalpur,193.31
11/7/2024,15:00,Bhakkar,183.04
11/7/2024,15:00,Chakwal,202.895
11/7/2024,15:00,Chiniot,298.835
11/7/2024,15:00,Dera Ghazi Khan,257.665
11/7/2024,15:00,Faisalabad,276.395
11/7/2024,15:00,Gujranwala,280.57
11/7/2024,15:00,Gujrat,219.92
11/7/2024,15:00,Hafizabad,264.135
11/7/2024,15:00,Jhang,196.745
11/7/2024,15:00,Jhelum,227.635
11/7/2024,15:00,Kasur,254.545
11/7/2024,15:00,Khanewal,195.725
11/7/2024,15:00,Khushab,207.75
11/7/2024,15:00,Lahore,853.22
11/7/2024,15:00,Layyah,207.155
11/7/2024,15:00,Lodhran,190.89
11/7/2024,15:00,Mandi Bahuddin,270.375
11/7/2024,15:00,Mianwali,183.205
11/7/2024,15:00,Multan,209.325
11/7/2024,15:00,Muzaffargarh,219.865
11/7/2024,15:00,Nankana Sahib,197.09
11/7/2024,15:00,Narowal,245.785
11/7/2024,15:00,Okara,186.735
11/7/2024,15:00,Pakpattan,159.085
11/7/2024,15:00,Rahim Yar Khan,157.33
11/7/2024,15:00,Rajanpur,171.9
11/7/2024,15:00,Rawalpindi,482.525
11/7/2024,15:00,Sahiwal,209.09
11/7/2024,15:00,Sargodha,272.445
11/7/2024,15:00,Sheikhupura,429.02
11/7/2024,15:00,Sialkot,291.285
11/7/2024,15:00,Toba Tek Singh,163.225
11/7/2024,15:00,Vehari,196.79
11/7/2024,16:00,Attock,369.025
11/7/2024,16:00,Bahawalnagar,166.395
11/7/2024,16:00,Bahawalpur,205.26
11/7/2024,16:00,Bhakkar,182.7
11/7/2024,16:00,Chakwal,205.865
11/7/2024,16:00,Chiniot,294.645
11/7/2024,16:00,Dera Ghazi Khan,271.4
11/7/2024,16:00,Faisalabad,268.625
11/7/2024,16:00,Gujranwala,281.12
11/7/2024,16:00,Gujrat,218.315
11/7/2024,16:00,Hafizabad,260.845
11/7/2024,16:00,Jhang,210.51
11/7/2024,16:00,Jhelum,231.685
11/7/2024,16:00,Kasur,246.63
11/7/2024,16:00,Khanewal,213.66
11/7/2024,16:00,Khushab,215.835
11/7/2024,16:00,Lahore,791.09
11/7/2024,16:00,Layyah,208.785
11/7/2024,16:00,Lodhran,199.16
11/7/2024,16:00,Mandi Bahuddin,280.12
11/7/2024,16:00,Mianwali,183.74
11/7/2024,16:00,Multan,229.1
11/7/2024,16:00,Muzaffargarh,225.56
11/7/2024,16:00,Nankana Sahib,200.825
11/7/2024,16:00,Narowal,244.175
11/7/2024,16:00,Okara,190.285
11/7/2024,16:00,Pakpattan,156.19
11/7/2024,16:00,Rahim Yar Khan,171.985
11/7/2024,16:00,Rajanpur,192.83
11/7/2024,16:00,Rawalpindi,456.195
11/7/2024,16:00,Sahiwal,206.34
11/7/2024,16:00,Sargodha,274.83
11/7/2024,16:00,Sheikhupura,429.39
11/7/2024,16:00,Sialkot,295.68
11/7/2024,16:00,Toba Tek Singh,165.11
11/7/2024,16:00,Vehari,209.36
11/7/2024,17:00,Attock,338.865
11/7/2024,17:00,Bahawalnagar,157.44
11/7/2024,17:00,Bahawalpur,226.425
11/7/2024,17:00,Bhakkar,175.94
11/7/2024,17:00,Chakwal,206.215
11/7/2024,17:00,Chiniot,275.81
11/7/2024,17:00,Dera Ghazi Khan,276.575
11/7/2024,17:00,Faisalabad,253.63
11/7/2024,17:00,Gujranwala,274.155
11/7/2024,17:00,Gujrat,210.84
11/7/2024,17:00,Hafizabad,252.11
11/7/2024,17:00,Jhang,223.25
11/7/2024,17:00,Jhelum,229.78
11/7/2024,17:00,Kasur,233.13
11/7/2024,17:00,Khanewal,237.315
11/7/2024,17:00,Khushab,222.57
11/7/2024,17:00,Lahore,649.69
11/7/2024,17:00,Layyah,209.065
11/7/2024,17:00,Lodhran,210.485
11/7/2024,17:00,Mandi Bahuddin,286.88
11/7/2024,17:00,Mianwali,181.815
11/7/2024,17:00,Multan,247.5
11/7/2024,17:00,Muzaffargarh,239.485
11/7/2024,17:00,Nankana Sahib,208.81
11/7/2024,17:00,Narowal,242.695
11/7/2024,17:00,Okara,196.365
11/7/2024,17:00,Pakpattan,155.595
11/7/2024,17:00,Rahim Yar Khan,181.455
11/7/2024,17:00,Rajanpur,215.36
11/7/2024,17:00,Rawalpindi,410.355
11/7/2024,17:00,Sahiwal,188.88
11/7/2024,17:00,Sargodha,266.96
11/7/2024,17:00,Sheikhupura,430.815
11/7/2024,17:00,Sialkot,287.11
11/7/2024,17:00,Toba Tek Singh,167.58
11/7/2024,17:00,Vehari,214.715
11/7/2024,18:00,Attock,313.505
11/7/2024,18:00,Bahawalnagar,155.02
11/7/2024,18:00,Bahawalpur,239.775
11/7/2024,18:00,Bhakkar,181.39
11/7/2024,18:00,Chakwal,204.18
11/7/2024,18:00,Chiniot,255.325
11/7/2024,18:00,Dera Ghazi Khan,265.795
11/7/2024,18:00,Faisalabad,239.41
11/7/2024,18:00,Gujranwala,264.675
