Date,Date,Final_aqi
45433,5/21/2024,78.005
45434,5/22/2024,68.32
45435,5/23/2024,64.10416667
45436,5/24/2024,70.86895833
45437,5/25/2024,71.520625
45438,5/26/2024,60.08979167
45439,5/27/2024,58.93895833
45440,5/28/2024,51.776875
45441,5/29/2024,65.76916667
45442,5/30/2024,67.78166667
45443,5/31/2024,65.49416667
45444,6/1/2024,74.20458333
45445,6/2/2024,106.0045833
45446,6/3/2024,90.93333333
45447,6/4/2024,92.16145833
45448,6/5/2024,73.64416667
45449,6/6/2024,73.09145833
45450,6/7/2024,72.40041667
45451,6/8/2024,63.89875
45452,6/9/2024,64.24375
45453,6/10/2024,68.79270833
45454,6/11/2024,78.87354167
45455,6/12/2024,79.169375
45456,6/13/2024,89.20666667
45457,6/14/2024,83.05541667
45458,6/15/2024,81.76125
45459,6/16/2024,97.37
45460,6/17/2024,91.18791667
45461,6/18/2024,81.49
45462,6/19/2024,87.5025
45463,6/20/2024,83.619375
45464,6/21/2024,117.5572917
45465,6/22/2024,81.194375
45466,6/23/2024,94.59708333
45467,6/24/2024,85.85583333
45468,6/25/2024,81.50395833
45469,6/26/2024,90.073125
45470,6/27/2024,110.5447917
45471,6/28/2024,107.8189583
45472,6/29/2024,112.284375
45473,6/30/2024,103.92125
45474,7/1/2024,100.4789583
45475,7/2/2024,110.328125
45476,7/3/2024,84.57625
45477,7/4/2024,75.41791667
45478,7/5/2024,74.84395833
45479,7/6/2024,79.53125
45480,7/7/2024,104.1247917
45481,7/8/2024,100.1210417
45482,7/9/2024,117.1977083
45483,7/10/2024,104.3608333
45484,7/11/2024,108.2689583
45485,7/12/2024,113.7760417
45486,7/13/2024,94.53875
45487,7/14/2024,107.32875
45488,7/15/2024,89.625625
45489,7/16/2024,89.21458333
45490,7/17/2024,103.2710417
45491,7/18/2024,100.8908333
45492,7/19/2024,101.5395833
45493,7/20/2024,103.3089583
45494,7/21/2024,101.4572917
45495,7/22/2024,126.5791667
45496,7/23/2024,136.4802083
45497,7/24/2024,132.8166667
45498,7/25/2024,118.4477083
45499,7/26/2024,107.446875
45500,7/27/2024,89.70333333
45501,7/28/2024,97.635625
45502,7/29/2024,107.344375
45503,7/30/2024,114.3829167
45504,7/31/2024,115.881875
45505,8/1/2024,90.71
45506,8/2/2024,95.138125
45507,8/3/2024,67.188125
45508,8/4/2024,72.934375
45509,8/5/2024,73.93041667
45510,8/6/2024,79.500625
45511,8/7/2024,88.120625
45512,8/8/2024,87.8575
45513,8/9/2024,82.11395833
45514,8/10/2024,75.64020833
45515,8/11/2024,82.92583333
45516,8/12/2024,94.50375
45517,8/13/2024,104.1727083
45518,8/14/2024,93.52104167
45519,8/15/2024,88.24895833
45520,8/16/2024,101.139375
